  4.55000000	  5.80000000	
  4.55000000	  5.85000000	
  4.55000000	  5.90000000	
  4.55000000	  5.95000000	
  4.55000000	  6.00000000	
  4.55000000	  6.05000000	
  4.55000000	  6.10000000	
  4.55000000	  6.15000000	
  4.55000000	  6.20000000	
  4.60000000	  5.75000000	
  4.60000000	  5.80000000	
  4.60000000	  6.20000000	
  4.60000000	  6.25000000	
  4.65000000	  5.65000000	
  4.65000000	  5.70000000	
  4.65000000	  6.30000000	
  4.65000000	  6.35000000	
  4.70000000	  5.65000000	
  4.70000000	  6.35000000	
  4.75000000	  5.60000000	
  4.75000000	  6.40000000	
  4.80000000	  5.55000000	
  4.80000000	  5.60000000	
  4.80000000	  6.40000000	
  4.80000000	  6.45000000	
  4.85000000	  5.55000000	
  4.85000000	  6.45000000	
  4.90000000	  5.55000000	
  4.90000000	  6.45000000	
  4.95000000	  5.55000000	
  4.95000000	  6.45000000	
  5.00000000	  5.55000000	
  5.00000000	  6.45000000	
  5.05000000	  5.55000000	
  5.05000000	  6.45000000	
  5.10000000	  5.55000000	
  5.10000000	  6.45000000	
  5.15000000	  5.55000000	
  5.15000000	  6.45000000	
  5.20000000	  5.55000000	
  5.20000000	  5.60000000	
  5.20000000	  6.40000000	
  5.20000000	  6.45000000	
  5.25000000	  5.60000000	
  5.25000000	  6.40000000	
  5.30000000	  5.65000000	
  5.30000000	  6.35000000	
  5.35000000	  5.65000000	
  5.35000000	  5.70000000	
  5.35000000	  6.30000000	
  5.35000000	  6.35000000	
  5.40000000	  5.75000000	
  5.40000000	  5.80000000	
  5.40000000	  6.20000000	
  5.40000000	  6.25000000	
  5.45000000	  5.80000000	
  5.45000000	  5.85000000	
  5.45000000	  5.90000000	
  5.45000000	  5.95000000	
  5.45000000	  6.00000000	
  5.45000000	  6.05000000	
  5.45000000	  6.10000000	
  5.45000000	  6.15000000	
  5.45000000	  6.20000000	
