   5.50000000       6.00000000    
   5.49960947       6.01975346    
   5.49843931       6.03947592    
   5.49649048       6.05913639    
   5.49376678       6.07870483    
   5.49027157       6.09815073    
   5.48601151       6.11744308    
   5.48099232       6.13655186    
   5.47522211       6.15544796    
   5.46870995       6.17410088    
   5.46146584       6.19248199    
   5.45350122       6.21056271    
   5.44482851       6.22831440    
   5.43546152       6.24570990    
   5.42541409       6.26272202    
   5.41470289       6.27932358    
   5.40334415       6.29548883    
   5.39135551       6.31119299    
   5.37875557       6.32641125    
   5.36556435       6.34111977    
   5.35180283       6.35529566    
   5.33749151       6.36891651    
   5.32265329       6.38196182    
   5.30731153       6.39441061    
   5.29148960       6.40624332    
   5.27521276       6.41744184    
   5.25850630       6.42798901    
   5.24139595       6.43786764    
   5.22390890       6.44706249    
   5.20607233       6.45555925    
   5.18791389       6.46334457    
   5.16946173       6.47040701    
   5.15074539       6.47673464    
   5.13179350       6.48231792    
   5.11263609       6.48714781    
   5.09330225       6.49121761    
   5.07382298       6.49452019    
   5.05422878       6.49705076    
   5.03454971       6.49880505    
   5.01481676       6.49978065    
   4.99506044       6.49997568    
   4.97531176       6.49939013    
   4.95560169       6.49802494    
   4.93596125       6.49588203    
   4.91642046       6.49296474    
   4.89701033       6.48927832    
   4.87776089       6.48482752    
   4.85870266       6.47961950    
   4.83986473       6.47366333    
   4.82127714       6.46696711    
   4.80296803       6.45954180    
   4.78496695       6.45139885    
   4.76730156       6.44255114    
   4.74999952       6.43301249    
   4.73308802       6.42279768    
   4.71659279       6.41192293    
   4.70054054       6.40040493    
   4.68495560       6.38826180    
   4.66986275       6.37551212    
   4.65528536       6.36217642    
   4.64124584       6.34827518    
   4.62776709       6.33382988    
   4.61486912       6.31886387    
   4.60257244       6.30339956    
   4.59089661       6.28746176    
   4.57985926       6.27107525    
   4.56947803       6.25426483    
   4.55976868       6.23705816    
   4.55074692       6.21948099    
   4.54242706       6.20156097    
   4.53482103       6.18332672    
   4.52794170       6.16480589    
   4.52179909       6.14602757    
   4.51640368       6.12702179    
   4.51176310       6.10781717    
   4.50788450       6.08844423    
   4.50477457       6.06893349    
   4.50243807       6.04931498    
   4.50087833       6.02961969    
   4.50009775       6.00987768    
   4.50009775       5.99012041    
   4.50087833       5.97037888    
   4.50243807       5.95068312    
   4.50477505       5.93106461    
   4.50788498       5.91155386    
   4.51176310       5.89218092    
   4.51640415       5.87297678    
   4.52180004       5.85397053    
   4.52794218       5.83519268    
   4.53482199       5.81667185    
   4.54242754       5.79843712    
   4.55074787       5.78051758    
   4.55976963       5.76294041    
   4.56947899       5.74573326    
   4.57986021       5.72892332    
   4.59089756       5.71253681    
   4.60257339       5.69659901    
   4.61487007       5.68113470    
   4.62776804       5.66616869    
   4.64124727       5.65172338    
   4.65528679       5.63782215    
   4.66986418       5.62448645    
   4.68495703       5.61173725    
   4.70054197       5.59959412    
   4.71659422       5.58807611    
   4.73308945       5.57720137    
   4.75000095       5.56698656    
   4.76730299       5.55744791    
   4.78496838       5.54860067    
   4.80296993       5.54045773    
   4.82127857       5.53303242    
   4.83986616       5.52633619    
   4.85870409       5.52038002    
   4.87776279       5.51517200    
   4.89701223       5.51072168    
   4.91642237       5.50703478    
   4.93596268       5.50411749    
   4.95560360       5.50197506    
   4.97531366       5.50060987    
   4.99506187       5.50002432    
   5.01481819       5.50021982    
   5.03455114       5.50119543    
   5.05423021       5.50294971    
   5.07382488       5.50548029    
   5.09330416       5.50878286    
   5.11263752       5.51285219    
   5.13179493       5.51768255    
   5.15074682       5.52326584    
   5.16946363       5.52959347    
   5.18791533       5.53665590    
   5.20607376       5.54444122    
   5.22391033       5.55293846    
   5.24139786       5.56213331    
   5.25850773       5.57201195    
   5.27521420       5.58255911    
   5.29149103       5.59375763    
   5.30731297       5.60559082    
   5.32265472       5.61803961    
   5.33749294       5.63108444    
   5.35180378       5.64470577    
   5.36556578       5.65888166    
   5.37875700       5.67359018    
   5.39135647       5.68880844    
   5.40334511       5.70451260    
   5.41470385       5.72067833    
   5.42541504       5.73727989    
   5.43546247       5.75429153    
   5.44482946       5.77168703    
   5.45350218       5.78943920    
   5.46146679       5.80751991    
   5.46871042       5.82590103    
   5.47522259       5.84455442    
   5.48099279       5.86345005    
   5.48601198       5.88255882    
   5.49027205       5.90185165    
   5.49376678       5.92129707    
   5.49649096       5.94086552    
   5.49843931       5.96052647    
   5.49960995       5.98024893    
